SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
456,Coconino County,AZ,1543,1649,2059,2119,2227,2286
457,Parker County,TX,1161,1228,1381,1508,1531,1604
458,Wilson County,TN,1473,1550,1766,1888,1940,2003
459,Rock Island County,IL,NA,879,949,1013,1026,1109
460,Randolph County,NC,NA,NA,NA,938,1054,1083
461,Douglas County,GA,1315,1460,1687,1789,1818,1849
462,Schuylkill County,PA,NA,NA,NA,936,1012,1089
463,Jackson County,MS,1039,1142,1352,1405,1473,1538
464,Lebanon County,PA,NA,899,1053,1203,1276,1358
465,Taylor County,TX,953,1028,1103,1199,1234,1307
466,Livingston Parish,LA,1053,1099,1205,1259,1315,1305
467,Monroe County,IN,1091,1149,1227,1373,1419,1476
468,Kaufman County,TX,1478,1602,1774,1886,1932,1957
469,Wright County,MN,1282,1378,1463,1547,1590,1664
471,Randall County,TX,1156,1184,1320,1404,1451,1497
472,Napa County,CA,2411,2572,2771,2883,2930,3011
473,Spotsylvania County,VA,1362,1446,1657,1756,1823,1926
474,Marathon County,WI,NA,NA,NA,924,917,982
475,Florence County,SC,NA,1156,1278,1398,1496,1568
476,Humboldt County,CA,NA,NA,NA,1466,1464,1544
477,Hampton City,VA,1024,1142,1357,1391,1447,1536
478,Washington County,WI,NA,NA,1041,1160,1219,1280
479,Clark County,OH,NA,NA,NA,891,988,1116
480,Boone County,KY,1161,1256,1387,1426,1538,1633
481,Calhoun County,MI,NA,NA,NA,1048,1087,1161
